figure_id,RNA in cortical glia?,protein in cortical glia?,RNA in neuropil glia?,protein in neuropil glia?,RNA in surface glia?,protein in surface glia?,Notes,,,,,,,,
2138424,no,no,no,no,no,no, ,,,,,2138424.jpg,,2138424,1
2138426,no,no,no,no,no,no, ,,,,,2138426.jpg,,2138426,1
2138431,no,no,no,yes,no,no, RNA low quality,,,,,2138431.jpg,,2138431,1
2138437,no,no,no,no,no,no, ,,,,,2138437.jpg,,2138437,1
2138443,no,no,no,no,no,no, ,,,,,2138443.jpg,,2138443,1
2138450,no,no,no,no,no,no, ,,,,,2138450.jpg,,2138450,1
2138452,no,no,no,no,no,no, ,,,,,2138452.jpg,,2138452,1
2138457,no,no,no,no,no,no, ,,,,,2138457.jpg,,2138457,1
2138462,no,no,no,no,no,no, ,,,,,2138462.jpg,,2138462,1
2138464,no,no,no,no,no,no, ,,,,,2138464.jpg,,2138464,1
2138468,no,no,no,no,no,no, ,,,,,2138468.jpg,,2138468,1
2138473,no,no,no,no,no,no, ,,,,,2138473.jpg,,2138473,1
2138491,no,no,no,no,no,no, ,,,,,2138491.jpg,,2138491,1
2138496,no,no,no,no,no,no, ,,,,,2138496.jpg,,2138496,1
2138505,no,no,yes,yes,no,no, ,,,,,2138505.jpg,,2138505,1
2138506,no,no,no,no,no,no, ,,,,,2138506.jpg,,2138506,1
2138516,no,no,no,no,no,no, ,,,,,2138516.jpg,,2138516,1
2138519,no,no,no,no,no,no, ,,,,,2138519.jpg,,2138519,1
2138521,no,no,no,no,no,no, ,,,,,2138521.jpg,,2138521,1
2138526,no,no,no,no,no,no, ,,,,,2138526.jpg,,2138526,1
2138535,no,no,no,no,no,no, ,,,,,2138535.jpg,,2138535,1
2138540,no,no,no,no,no,no, ,,,,,2138540.jpg,,2138540,1
2138545,no,no,no,no,no,no, ,,,,,2138545.jpg,,2138545,1
2138550,no,no,no,no,no,no, ,,,,,2138550.jpg,,2138550,1
2138554,no,no,no,no,no,no, ,,,,,2138554.jpg,,2138554,1
2138558,no,no,no,no,no,no, ,,,,,2138558.jpg,,2138558,1
2138566,no,no,no,yes,no,no, RNA low quality Nrv2,,,,,2138566.jpg,,2138566,1
2138576,no,no,no,no,no,no, ,,,,,2138571.jpg,,2138576,1
2138579,no,no,no,no,no,no, ,,,,,2138576.jpg,,2138579,1
2138585,no,no,no,no,no,no, ,,,,,2138579.jpg,,2138585,1
2138590,no,no,no,no,no,no, ,,,,,2138585.jpg,,2138590,1
2138594,no,no,no,no,no,no, ,,,,,2138590.jpg,,2138594,1
2138599,no,no,no,no,no,no, ,,,,,2138594.jpg,,2138599,1
2138616,no,no,no,no,no,no, ,,,,,2138599.jpg,,2138616,1
2138622,no,no,no,no,no,no, ,,,,,2138616.jpg,,2138622,1
2138624,no,no,no,no,no,no, ,,,,,2138622.jpg,,2138624,1
2138627,no,no,no,no,no,no, ,,,,,2138624.jpg,,2138627,1
2138631,no,no,no,no,no,no, ,,,,,2138627.jpg,,2138631,1
2138633,no,no,yes,yes,no,no, ,,,,,2138631.jpg,,2138633,1
2138644,no,no,no,no,no,no, ,,,,,2138633.jpg,,2138644,1
2138648,no,no,no,no,no,no, ,,,,,2138644.jpg,,2138648,1
2138658,no,no,no,no,no,no, ,,,,,2138648.jpg,,2138658,1
2138659,no,no,no,no,no,no, ,,,,,2138658.jpg,,2138659,1
2138660,no,no,no,no,no,no, ,,,,,2138659.jpg,,2138660,1
2138662,no,no,no,yes,no,no, ,,,,,2138660.jpg,,2138662,1
2138669,no,no,no,no,no,no, ,,,,,2138662.jpg,,2138669,1
2138677,no,no,no,no,no,no, ,,,,,2138669.jpg,,2138677,1
2138680,no,no,no,no,no,no, ,,,,,2138677.jpg,,2138680,1
2138682,no,no,no,no,no,no, ,,,,,2138680.jpg,,2138682,1
2138693,no,no,no,no,no,no, ,,,,,2138682.jpg,,2138693,1
2138706,no,no,no,no,no,no, ,,,,,2138693.jpg,,2138706,1
2138724,no,no,no,no,no,no, ,,,,,2138706.jpg,,2138724,1
2138726,no,no,yes,yes,no,no, ,,,,,2138724.jpg,,2138726,1
2138728,no,no,no,no,no,no, ,,,,,2138726.jpg,,2138728,1
2138731,no,no,no,no,no,no, ,,,,,2138728.jpg,,2138731,1
2138736,no,no,no,no,no,no, ,,,,,2138731.jpg,,2138736,1
2138744,no,no,no,no,no,no, ,,,,,2138736.jpg,,2138744,1
2138747,no,no,no,no,no,no, ,,,,,2138744.jpg,,2138747,1
2138750,no,no,no,no,no,no, ,,,,,2138747.jpg,,2138750,1
2138754,no,no,no,no,no,no, ,,,,,2138750.jpg,,2138754,1
2138756,no,no,no,no,no,no, ,,,,,2138754.jpg,,2138756,1
2138758,no,no,yes,yes,no,no, ,,,,,2138756.jpg,,2138758,1
2138765,no,no,no,no,no,no, ,,,,,2138758.jpg,,2138765,1
2138772,no,no,no,no,no,no, ,,,,,2138765.jpg,,2138772,1
2138795,no,no,no,no,no,no, ,,,,,2138772.jpg,,2138795,1
2138796,no,no,no,no,no,no, ,,,,,2138795.jpg,,2138796,1
2138797,no,no,no,no,no,no, ,,,,,2138796.jpg,,2138797,1
