figure_id,Collection,Compartment
2137976,CPTI003745,NMJ
2137977,CPTI001735,MB
2137978,CPTI100064,NMJ
2137979,CPTI000031,MB
2137980,CPTI000031,CB
2137981,CPTI001180,NMJ
2137982,CPTI001735,OL
2137983,CPTI003151,NMJ
2137984,CPTI003897,MB
2137985,CPTI001962,MB
2137986,CPTI002285,MB
2137987,CPTI001735,VNC
2137988,CPTI001962,overview
2137989,CPTI001234,overview
2137990,CPTI001234,CB
2137991,CPTI001234,OL
2137992,CPTI001234,MB
2137993,CPTI000915,VNC
2137994,CPTI001056,MB
2137996,CPTI000915,MB
2137997,CPTI002305,VNC
2137998,CPTI002305,OL
2137999,CPTI002305,overview
2138000,CPTI000915,OL
2138001,CPTI001589,overview
2138002,CPTI002408,overview
2138003,CPTI001685,overview
2138004,CPTI003089,overview
2138005,CPTI002201,overview
2138006,CPTI002285,overview
2138007,CPTI003091,overview
2138008,CPTI000760,overview
2138009,CPTI003897,NMJ
2138010,CPTI001735,overview
2138011,CPTI002562,VNC
2138012,CPTI001589,VNC
2138013,CPTI002408,VNC
2138014,CPTI003971,VNC
2138015,CPTI001234,VNC
2138016,CPTI004117,overview
2138017,CPTI003089,VNC
2138018,CPTI000876,overview
2138019,CPTI000876,CB
2138020,CPTI000876,VNC
2138021,CPTI000876,OL
2138022,CPTI003897,overview
2138023,CPTI003897,VNC
2138024,CPTI003897,CB
2138025,CPTI000876,MB
2138026,CPTI002408,OL
2138027,CPTI003897,OL
2138028,CPTI003818,overview
2138029,CPTI003818,CB
2138030,CPTI003818,VNC
2138031,CPTI003818,MB
2138032,CPTI003818,OL
2138033,CPTI001589,MB
2138034,CPTI001714,overview
2138035,CPTI001714,VNC
2138036,CPTI000161,MB
2138037,CPTI001714,CB
2138038,CPTI001714,MB
2138039,CPTI001714,OL
2138040,CPTI000379,overview
2138041,CPTI000379,CB
2138042,CPTI000379,VNC
2138043,CPTI000379,MB
2138044,CPTI000379,OL
2138045,CPTI002487,overview
2138046,CPTI002487,CB
2138047,CPTI002487,VNC
2138048,CPTI002487,MB
2138049,CPTI002487,OL
2138050,CPTI001977,overview
2138051,CPTI001977,CB
2138052,CPTI001977,MB
2138053,CPTI001977,OL
2138054,CPTI100013,overview
2138055,CPTI100013,CB
2138056,CPTI100013,VNC
2138057,CPTI100013,MB
2138058,CPTI100013,OL
2138059,CPTI000161,VNC
2138060,CPTI100043,NMJ
2138061,CPTI002324,NMJ
2138063,CPTI000190,MB
2138064,CPTI002085,overview
2138065,CPTI002085,CB
2138066,CPTI002085,VNC
2138067,CPTI002085,MB
2138068,CPTI002085,OL
2138070,CPTI000944,NMJ
2138072,CPTI003472,NMJ
2138073,CPTI000332,NMJ
2138074,CPTI001198,OL
2138076,CPTI002408,MB
2138077,CPTI002152,NMJ
2138078,CPTI001589,NMJ
2138081,CPTI000207,NMJ
2138082,CPTI000252,NMJ
2138083,CPTI000616,NMJ
2138085,CPTI001175,NMJ
2138088,CPTI001658,NMJ
2138089,CPTI000915,overview
2138090,CPTI100045,NMJ
2138091,CPTI003091,CB
2138092,CPTI000091,NMJ
2138093,CPTI003971,overview
2138094,CPTI000190,NMJ
2138096,CPTI000194,NMJ
2138097,CPTI000263,NMJ
2138098,CPTI000298,NMJ
2138099,CPTI000303,NMJ
2138100,CPTI000337,NMJ
2138101,CPTI000365,NMJ
2138102,CPTI000371,NMJ
2138103,CPTI001993,MB
2138104,CPTI003785,NMJ
2138105,CPTI000915,CB
2138106,CPTI003732,NMJ
2138107,CPTI001993,CB
2138108,CPTI001993,VNC
2138109,CPTI001993,OL
2138110,CPTI000472,NMJ
2138111,CPTI000567,NMJ
2138112,CPTI000590,NMJ
2138113,CPTI000609,NMJ
2138114,CPTI000658,NMJ
2138115,CPTI000688,NMJ
2138116,CPTI000877,NMJ
2138117,CPTI002315,OL
2138118,CPTI000739,NMJ
2138119,CPTI002315,VNC
2138120,CPTI002315,CB
2138121,CPTI002315,MB
2138122,CPTI002907,NMJ
2138123,CPTI003089,CB
2138124,CPTI003151,overview
2138125,CPTI000748,overview
2138126,CPTI000748,OL
2138127,CPTI000161,OL
2138128,CPTI003532,MB
2138129,CPTI001771,CB
2138130,CPTI000031,VNC
2138131,CPTI003100,NMJ
2138132,CPTI000567,OL
2138133,CPTI000567,overview
