figure_id,Collection,Compartment
2138779,CPTI004189,VNC
2138780,CPTI000658,overview
2138781,CPTI001718,overview
2138782,CPTI003745,CB
2138783,CPTI000332,CB
2138784,CPTI000658,CB
2138785,CPTI001718,CB
2138786,CPTI002103,CB
2138787,CPTI002805,CB
2138788,CPTI000332,OL
2138789,CPTI000658,OL
2138790,CPTI000433,overview
2138791,CPTI002103,OL
2138792,CPTI003785,VNC
2138793,CPTI002805,OL
2138794,CPTI003151,OL
2138795,CPTI000332,MB
2138796,CPTI000658,MB
2138797,CPTI001718,MB
2138798,CPTI002103,MB
2138799,CPTI002805,MB
2138800,CPTI003151,MB
2138801,CPTI000332,VNC
2138802,CPTI000640,VNC
2138803,CPTI000658,VNC
2138804,CPTI001718,VNC
2138805,CPTI002103,VNC
2138806,CPTI002805,VNC
2138807,CPTI003151,VNC
2138808,CPTI004394,VNC
2138809,CPTI004394,overview
2138810,CPTI002324,CB
2138811,CPTI003806,overview
2138812,CPTI003806,OL
2138813,CPTI003806,CB
2138814,CPTI003806,MB
2138815,CPTI001046,MB
2138816,CPTI100044,OL
2138817,CPTI001659,VNC
2138818,CPTI000252,MB
2138819,CPTI002437,overview
2138820,CPTI000739,VNC
2138821,CPTI001659,CB
2138822,CPTI000739,OL
2138823,CPTI000190,overview
2138824,CPTI001775,OL
2138825,CPTI000077,OL
2138826,CPTI002818,MB
2138827,CPTI000727,CB
2138828,CPTI002437,CB
2138829,CPTI000836,MB
2138830,CPTI003785,CB
2138831,CPTI003957,CB
2138832,CPTI004117,CB
2138833,CPTI000727,OL
2138834,CPTI002437,OL
2138835,CPTI004179,OL
2138836,CPTI000727,MB
2138837,CPTI002437,MB
2138838,CPTI002889,MB
2138839,CPTI004479,MB
2138840,CPTI003785,MB
2138841,CPTI002437,VNC
2138842,CPTI000727,overview
2138843,CPTI002889,overview
2138844,CPTI001455,VNC
2138845,CPTI002562,MB
2138846,CPTI002939,overview
2138847,CPTI001997,overview
2138848,CPTI003733,CB
2138849,CPTI003733,MB
2138850,CPTI003733,OL
2138851,CPTI001414,OL
2138852,CPTI001414,CB
2138853,CPTI001414,MB
2138854,CPTI001414,VNC
2138855,CPTI000609,overview
2138856,CPTI001775,MB
2138857,CPTI002102,MB
2138858,CPTI001659,OL
2138859,CPTI001775,VNC
2138860,CPTI000318,overview
2138861,CPTI002102,CB
2138862,CPTI002562,CB
2138863,CPTI002939,MB
2138864,CPTI000318,MB
2138865,CPTI000252,OL
2138866,CPTI001175,OL
2138867,CPTI002939,OL
2138868,CPTI000038,overview
2138869,CPTI000252,VNC
2138870,CPTI001175,VNC
2138871,CPTI002939,VNC
2138872,CPTI000774,overview
2138873,CPTI000252,CB
2138874,CPTI001175,CB
2138875,CPTI000077,MB
2138876,CPTI002793,MB
2138877,CPTI001995,MB
2138878,CPTI000633,MB
2138879,CPTI000688,MB
2138880,CPTI002793,OL
2138881,CPTI001995,OL
2138882,CPTI000633,OL
2138883,CPTI000688,OL
2138884,CPTI002793,VNC
2138885,CPTI001995,VNC
2138886,CPTI000633,VNC
2138887,CPTI000688,VNC
2138888,CPTI002793,CB
2138889,CPTI001995,CB
2138890,CPTI000633,CB
2138891,CPTI000688,CB
2138892,CPTI003911,MB
2138893,CPTI003323,MB
2138894,CPTI001997,MB
2138895,CPTI001194,MB
2138896,CPTI000091,CB
2138897,CPTI003323,OL
2138898,CPTI001194,OL
2138899,CPTI003339,OL
2138900,CPTI003911,VNC
2138901,CPTI003323,VNC
2138902,CPTI001997,VNC
2138903,CPTI001194,VNC
2138904,CPTI003250,overview
2138905,CPTI003323,CB
2138906,CPTI001997,CB
2138907,CPTI001194,CB
2138908,CPTI002905,MB
2138909,CPTI001409,MB
2138910,CPTI000038,MB
2138911,CPTI002905,OL
2138912,CPTI001409,OL
2138913,CPTI000774,OL
2138914,CPTI000038,OL
2138915,CPTI002905,VNC
2138916,CPTI001409,VNC
2138917,CPTI003684,MB
2138918,CPTI001328,OL
2138919,CPTI004362,MB
2138920,CPTI001769,OL
2138921,CPTI004362,CB
2138922,CPTI003472,CB
2138923,CPTI003684,CB
2138924,CPTI001328,VNC
2138925,CPTI001769,VNC
2138926,CPTI003472,MB
2138927,CPTI001328,CB
2138928,CPTI001769,CB
2138929,CPTI002342,overview
2138930,CPTI000850,OL
2138931,CPTI000850,VNC
2138932,CPTI002818,OL
2138933,CPTI002818,VNC
2138934,CPTI002818,overview
2138935,CPTI001175,MB
2138936,CPTI001580,MB
2138937,CPTI000318,VNC
2138938,CPTI002807,CB
2138939,CPTI003532,CB
2138940,CPTI003250,VNC
2138941,CPTI001580,OL
2138942,CPTI001775,overview
2138943,CPTI001284,VNC
2138944,CPTI001284,MB
2138945,CPTI001284,CB
2138946,CPTI001284,OL
2138947,CPTI004179,VNC
2138948,CPTI001586,overview
2139013,CPTI001081,VNC
2139235,CPTI002796,MB
2139266,CPTI002772,overview
2139267,CPTI000303,overview
2139268,CPTI100064,overview
2139269,CPTI002187,overview
2139270,CPTI003732,overview
2139271,CPTI001828,overview
2139272,CPTI003020,overview
2139273,CPTI004152,overview
2139875,CPTI003020,MB
2139876,CPTI003020,CB
2139877,CPTI003020,VNC
2139878,CPTI003020,OL
2139879,CPTI001828,MB
2139880,CPTI001828,CB
2139881,CPTI001828,VNC
2139882,CPTI001828,OL
2139883,CPTI002187,MB
2139884,CPTI000023,CB
2139885,CPTI002187,VNC
2139886,CPTI002187,OL
2139896,CPTI000023,MB
2139897,CPTI000023,VNC
2139898,CPTI000023,OL
2139899,CPTI000023,overview
2139921,CPTI000023,NMJ
2139961,CPTI003669,OL
2139973,CPTI003173,OL
2139974,CPTI003173,CB
2139975,CPTI003173,VNC
2139976,CPTI003173,MB
2139978,CPTI000337,OL
2139986,CPTI002187,CB
2140037,CPTI003091,VNC
2140570,CPTI002292,NMJ
2140571,CPTI000833,NMJ
2140572,CPTI002292,overview
2140573,CPTI002292,VNC
2140574,CPTI002292,MB
2140575,CPTI002292,CB
2140576,CPTI002292,OL
2140577,CPTI000833,OL
2140578,CPTI000833,MB
2140579,CPTI004166,VNC
2140580,CPTI000833,overview
2140581,CPTI000833,CB
2140582,CPTI004166,NMJ
2140583,CPTI004166,MB
2140584,CPTI004166,CB
2140585,CPTI004166,OL
2140587,CPTI000833,VNC
2140588,CPTI004166,overview
2140666,CPTI100064,MB
2140667,CPTI004152,MB
2140668,CPTI000303,MB
2140669,CPTI100064,CB
2140670,CPTI004152,CB
2140671,CPTI000303,CB
2140672,CPTI100064,VNC
2140673,CPTI004152,VNC
2140674,CPTI000303,VNC
2140675,CPTI100064,OL
2140676,CPTI004152,OL
2140678,CPTI003732,MB
2140679,CPTI003732,CB
2140680,CPTI003732,VNC
2140681,CPTI003732,OL
2140682,CPTI000303,OL
2141755,CPTI001997,OL
2142954,CPTI002578,NMJ
