figure_id,What is the level of RNA expression in NMJ?,What is the level of protein expression in NMJ?,Nascent transcript level in muscle,Cytosolic RNA level in muscle,Is there obvious RNA/protein discordance (whole image- NMJ)?,Is RNA present in muscle?,Is protein present in muscle?,Is protein present in NMJ post synaptic density?,Is RNA present in NMJ neuron?,Is protein present in NMJ neuron?,Is RNA present in NMJ axon terminal?,Is protein present in NMJ axon terminal?,Protein localized in glia?,RNA in localized in glia,,RNA in neuropil glia?,protein in neuropil glia?,RNA in cortical glia?,protein in cortical glia?,,All glia RNA,All glia protein,,,
2137867,High,Moderate,Moderate,High,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137868,Moderate,Moderate,Moderate,Low,No,Yes,Yes,Yes,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137870,Moderate,Moderate,Moderate,Low,Yes,Yes,No,No,No,Yes,no,no,yes,yes,,no,no,no,no,,no,yes,,,
2137871,Moderate,Moderate,Moderate,Low,Yes,Yes,No,No,No,Yes,no,no,yes,no,,no,no,no,no,,yes,yes,,,
2137876,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,Yes,No,Yes,no,no,no,no,,no,yes,no,no,,yes,yes,,,
2137878,High,High,High,High,Yes,Yes,No,Yes,Yes,Yes,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137880,Moderate,Moderate,Moderate,Low,No,Yes,No,No,Yes,Yes,no,no,yes,yes,,no,no,no,no,,yes,yes,,,
2137881,Low,Moderate,None,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137882,Moderate,Moderate,None,Moderate,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137883,Moderate,Moderate,High,Moderate,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137884,Moderate,Low,None,Moderate,No,Yes,Yes,No,Yes,No,yes,no,no,no,,no,no,no,no,,yes,yes,,,
2137885,Moderate,Moderate,Moderate,Moderate,Yes,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137886,Moderate,High,High,Moderate,No,Yes,Yes,Yes,No,Yes,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137887,Low,Low,None,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137888,High,Moderate,High,High,No,Yes,Yes,No,Yes,No,yes,yes,no,no,,no,no,no,no,,yes,yes,,,
2137892,Moderate,Moderate,High,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137893,None,Low,None,None,Yes,No,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137908,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,Yes,Yes,Yes,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137913,None,High,None,None,No,No,No,Yes,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137914,None,None,None,Low,No,Yes,No,No,No,No,no,no,no,no,,no,no,no,no,,no,yes,,,
2137916,High,Moderate,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137917,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137918,High,High,Low,High,Yes,Yes,No,Yes,No,No,no,no,no,no,,yes,yes,no,no,,yes,yes,,,
2137919,Low,Moderate,High,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137921,High,High,High,High,No,Yes,No,Yes,Yes,No,yes,no,no,no,,no,no,no,no,,no,yes,,,
2137926,Low,Moderate,Low,Low,No,No,No,Yes,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137927,Low,Low,None,Low,No,Yes,No,No,No,No,no,no,no,no,,yes,yes,no,no,,yes,yes,,,
2137935,None,None,None,None,No,No,No,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137936,Moderate,Moderate,High,None,Yes,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137938,High,Moderate,Moderate,High,No,Yes,Yes,Yes,No,No,no,no,no,no,,yes,yes,no,no,,yes,yes,,,
2137939,Low,Low,Low,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,yes,yes,,,
2137942,High,Moderate,Moderate,High,No,Yes,Yes,No,Yes,No,yes,no,no,no,,no,yes,no,no,,yes,yes,,,
