figure_id,What is the level of RNA expression in NMJ?,What is the level of protein expression in NMJ?,Nascent transcript level in muscle,Cytosolic RNA level in muscle,Is there obvious RNA/protein discordance (whole image- NMJ)?,Is RNA present in muscle?,Is protein present in muscle?,Is protein present in NMJ post synaptic density?,Is RNA present in NMJ neuron?,Is protein present in NMJ neuron?,Is RNA present in NMJ axon terminal?,Is protein present in NMJ axon terminal?,Protein localized in glia?,RNA in localized in glia,,RNA in neuropil glia?,protein in neuropil glia?,RNA in cortical glia?,protein in cortical glia?,,All glia RNA,All glia protein,,,
2138270,Moderate,High,Moderate,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2138273,Low,Low,Low,Low,No,No,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2139921,High,High,Moderate,High,No,Yes,No,No,Yes,Yes,yes,yes,no,no,,no,yes,no,no,,no,no,,,
2140570,Moderate,Moderate,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2140571,None,Low,None,None,Yes,No,Yes,No,No,Yes,no,no,no,no,,no,no,no,no,,no,no,,,
2140582,Moderate,Low,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,no,no,,no,no,,,
2142954,Moderate,Moderate,Moderate,Moderate,No,Yes,Yes,Yes,No,Yes,yes,yes,yes,yes,,no,no,no,no,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
,,,,,,,,,,,,,,,,,,,,,no,no,,,
