FBgn,figure_id,RNA_NB lineage,protein_NB lineage,punctate_CB,Comments,Comments,Comments,Comments,Comments,Comments
FBgn0037073,2137768,no,no,no,not expressed,,,,,
FBgn0037110,2137775,no,no,no,not expressed,,,,,
FBgn0267376,2137890,no,no,no,not expressed,,,,,
FBgn0010316,2137924,no,no,no,not expressed,,,,,
FBgn0004878,2137933,no,no,no,not expressed,,,,,
FBgn0000097,2138019,no,no,no,not expressed,,,,,
FBgn0262733,2138136,no,no,no,not expressed,,,,,
FBgn0015774,2138314,no,no,no,not expressed,,,,,
FBgn0022382,2138318,no,no,no,not expressed,,,,,
FBgn0021764,2138330,no,no,no,not expressed,,,,,
FBgn0259143,2138356,no,no,no,not expressed,,,,,
FBgn0001098,2138361,no,no,no,not expressed,,,,,
FBgn0033446,2138399,no,no,no,not expressed,,,,,
FBgn0004167,2138429,no,no,no,not expressed,,,,,
FBgn0036449,2138435,no,no,no,not expressed,,,,,
FBgn0026533,2138471,no,no,,not expressed,,,,,
FBgn0023407,2138476,no,no,no,not expressed,,,,,
FBgn0263997,2138511,no,no,no,not expressed,,,,,
FBgn0004872,2138525,no,no,no,not expressed,,,,,
FBgn0041605,2138547,no,no,no,not expressed,,,,,
FBgn0031268,2138623,no,no,no,not expressed,,,,,
FBgn0261722,2138655,no,no,no,not expressed,,,,,
FBgn0284408,2138664,no,no,no,not expressed,,,,,
FBgn0040207,2138678,no,no,no,not expressed,,,,,
FBgn0264442,2138714,no,no,no,not expressed,,,,,
FBgn0052685,2138745,no,no,no,not expressed,,,,,
FBgn0037707,2138751,no,no,no,not expressed,,,,,
FBgn0000183,2138753,no,no,no,not expressed,,,,,
FBgn0030870,2138813,no,no,no,not expressed,,,,,
FBgn0000053,2138848,no,no,no,not expressed,,,,,
FBgn0028622,2138852,no,no,no,not expressed,,,,,
FBgn0002772,2138861,no,no,no,not expressed,,,,,
FBgn0028327,2138890,no,no,no,not expressed,,,,,
FBgn0000721,2138896,no,no,no,not expressed,,,,,
FBgn0266098,2138905,no,no,no,not expressed,,,,,
FBgn0024989,2138906,no,no,no,not expressed,,,,,
FBgn0264307,2138921,no,no,no,not expressed,,,,,
FBgn0011763,2138928,no,no,no,not expressed,,,,,
FBgn0030521,2138938,no,no,no,not expressed,,,,,
FBgn0034075,2139880,no,no,,not expressed,,,,,
FBgn0263037,2140679,no,no,,not expressed,,,,,
FBgn0015221,2140669,no,no,,not expressed,,,,,
FBgn0029687,2140575,no,no,,not expressed,,,,,
FBgn0013733,2137928,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0031294,2138055,both,progeny,,posttranscriptional regulation,,,,,
FBgn0261552,2138322,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0263396,2138371,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0003261,2138372,both,progeny,,posttranscriptional regulation,,,,,
FBgn0259212,2138460,both,progeny,,posttranscriptional regulation,,,,,
FBgn0015790,2138548,both,progeny,,posttranscriptional regulation,,,,,
FBgn0261090,2138574,both,progeny,,posttranscriptional regulation,,,,,
FBgn0027529,2138708,both,progeny,,posttranscriptional regulation,,,,,
FBgn0023509,2138722,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0022986,2138786,both,progeny,yes,posttranscriptional regulation,,,,,
FBgn0285926,2138832,both,progeny,no,posttranscriptional regulation,,,,,
FBgn0036337,2138499,both,both,no,global expression,,,,,
FBgn0001145,2137896,progeny,progeny,no,transcriptional regulation,,,,,
FBgn0016797,2138353,progeny,no,no,transcriptional regulation,,,,,
FBgn0003435,2138388,progeny,progeny,no,transcriptional regulation,,,,,
FBgn0001235,2138782,progeny,progeny,no,transcriptional regulation,,,,,
FBgn0036213,2138831,progeny,progeny,no,transcriptional regulation,,,,,
FBgn0263930,2137758,both,no,,transcriptional regulation,,,,,
FBgn0000635,2137781,both,progeny,,transcriptional regulation,,,,,
FBgn0015773,2137792,progeny,progeny,,transcriptional regulation,,,,,
FBgn0026721,2137811,progeny,no,,transcriptional regulation,,,,,
FBgn0015776,2137900,no,no,,transcriptional regulation,,,,,
FBgn0053087,2137907,both,progeny,,transcriptional regulation,,,,,
FBgn0011224,2137969,both,both,,transcriptional regulation,,,,,
FBgn0011828,2138024,both,progeny,,transcriptional regulation,,,,,
FBgn0027356,2138174,progeny,progeny,,transcriptional regulation,,,,,
FBgn0031307,2138271,progeny,progeny,,transcriptional regulation,,,,,
FBgn0003041,2138274,NB,both,,transcriptional regulation,,,,,
FBgn0259244,2138280,progeny,progeny,,transcriptional regulation,,,,,
FBgn0010217,2138441,progeny,progeny,,transcriptional regulation,,,,,
FBgn0036816,2138451,both,both,,transcriptional regulation,,,,,
FBgn0010905,2138503,both,no,,transcriptional regulation,,,,,
FBgn0004924,2138529,progeny,progeny,,transcriptional regulation,,,,,
FBgn0015777,2138563,progeny,progeny,,transcriptional regulation,,,,,
FBgn0011206,2138767,both,progeny,,transcriptional regulation,,,,,
FBgn0035533,2138770,no,no,,transcriptional regulation,,,,,
FBgn0029939,2138776,progeny,progeny,,transcriptional regulation,,,,,
FBgn0001987,2138787,both,both,,transcriptional regulation,,,,,
FBgn0261836,2138922,progeny,progeny,,transcriptional regulation,,,,,
FBgn0020660,2139986,both,both,,transcriptional regulation,,,,,
FBgn0000636,2140581,progeny,progeny,,transcriptional regulation,,,,,
FBgn0001250,2140670,progeny,no,,transcriptional regulation,,,,,
FBgn0001124,2140671,both,progeny,,transcriptional regulation,,,,,
