FBgn,figure_id,RNA_CB,protein_CB,punctate_CB,Comments,,,,,,,Final,,
FBgn0085451,2138671,both,both,no,global expression,,,,,,,FBgn0026250,1,1
FBgn0024238,2138692,both,both,no,global expression,,,,,,,FBgn0020660,1,1
FBgn0063485,2138694,both,both,yes,global expression,,,,,,,FBgn0026259,1,1
FBgn0261618,2138700,both,both,no,global expression,,,,,,,FBgn0020443,1,1
FBgn0028343,2138701,both,both,,global expression,,,,,,,FBgn0000635,1,1
FBgn0035397,2138710,both,both,no,global expression,,,,,,,FBgn0000636,1,1
FBgn0037010,2138718,both,both,no,global expression,,,,,,,FBgn0026721,1,1
FBgn0032949,2138730,both,both,yes,global expression,,,,,,,FBgn0015222,1,1
FBgn0000392,2138737,both,both,yes,global expression,,,,,,,FBgn0015221,1,1
FBgn0031645,2138738,both,both,yes,global expression,,,,,,,FBgn0024238,1,1
FBgn0015222,2138739,both,both,yes,global expression,,,,,,,FBgn0264078,1,1
FBgn0264607,2138761,both,both,no,global expression,,,,,,,FBgn0000711,1,1
FBgn0000261,2138771,both,both,no,global expression,,,,,,,FBgn0000721,1,1
FBgn0015513,2138783,both,both,no,global expression,,,,,,,FBgn0011592,1,1
FBgn0000017,2138784,both,both,no,global expression,,,,,,,FBgn0262743,1,1
FBgn0045823,2138785,both,both,yes,global expression,,,,,,,FBgn0016797,1,1
FBgn0027598,2138810,both,both,yes,global expression,,,,,,,FBgn0001098,1,1
FBgn0030400,2138821,both,both,no,global expression,,,,,,,FBgn0250823,1,1
FBgn0261617,2138827,both,both,no,global expression,,,,,,,FBgn0015229,1,1
FBgn0263594,2138828,both,both,,global expression,,,,,,,FBgn0001987,1,1
FBgn0011817,2138830,both,both,no,global expression,,,,,,,FBgn0001124,1,1
FBgn0026250,2138862,both,both,no,global expression,,,,,,,FBgn0261988,1,1
FBgn0004839,2138873,both,both,no,global expression,,,,,,,FBgn0261278,1,1
FBgn0004449,2138874,both,both,yes,global expression,,,,,,,FBgn0001145,1,1
FBgn0030478,2138888,both,both,no,global expression,,,,,,,FBgn0041210,1,1
FBgn0259214,2138889,both,both,no,global expression,,,,,,,FBgn0011224,1,1
FBgn0286818,2138891,both,both,no,global expression,,,,,,,FBgn0001215,1,1
FBgn0005777,2138907,both,both,no,global expression,,,,,,,FBgn0001235,1,1
