figure_id,RNA_CB,protein_CB,punctate_protein_CB,Comments,,Experiment 2,Experiment 1,Mean,,,,
2138499,no,no,no,not expressed,,,,,,,,
2138753,no,no,no,not expressed,,,,,,,,
2137924,no,no,no,not expressed,,,,,,,,
2137890,no,no,no,not expressed,,,,,,,,
2138921,no,no,no,not expressed,,,,,,,,
2138745,no,no,no,not expressed,,,,,,,,
2138905,no,no,no,not expressed,,,,,,,,
2138399,no,no,no,not expressed,,,,,,,,
2138525,no,no,no,not expressed,,,,,,,,
2138429,no,no,no,not expressed,,,,,,,,
2138511,no,no,no,not expressed,,,,,,,,
2138548,no,no,no,not expressed,,,,,,,,
2138435,no,no,no,not expressed,,,,,,,,
2138852,no,no,no,not expressed,,,,,,,,
2138655,no,no,no,not expressed,,,,,,,,
2138938,no,no,no,not expressed,,,,,,,,
2138861,no,no,no,not expressed,,,,,,,,
2138678,no,no,no,not expressed,,,,,,,,
2138361,no,no,no,not expressed,,,,,,,,
2138890,no,no,no,not expressed,,,,,,,,
2138623,no,no,no,not expressed,,,,,,,,
2138928,no,no,no,not expressed,,,,,,,,
2138664,no,no,no,not expressed,,,,,,,,
2138547,no,no,no,not expressed,,,,,,,,
2138471,no,no,no,not expressed,,,,,,,,
2138019,no,no,no,not expressed,,,,,,,,
2137933,no,no,no,not expressed,,,,,,,,
2138906,no,no,no,not expressed,,,,,,,,
2138896,no,no,no,not expressed,,,,,,,,
2138318,no,no,no,not expressed,,,,,,,,
2138314,no,no,no,not expressed,,,,,,,,
2138330,no,no,no,not expressed,,,,,,,,
2138494,NB,progeny,no,posttranscriptional regulation,,,,,,,,
2138786,both,NB,yes,posttranscriptional regulation,,,,,,,,
2138372,both,progeny,yes,posttranscriptional regulation,,,,,,,,
2138722,both,progeny,no,posttranscriptional regulation,,,,,,,,
2137928,both,progeny,no,posttranscriptional regulation,,,,,,,,
2138309,both,progeny,yes,posttranscriptional regulation,,,,,,,,
2138529,both,progeny,yes,posttranscriptional regulation,,,,,,,,
2138371,both,progeny,no,posttranscriptional regulation,,,,,,,,
2138832,both,progeny,no,posttranscriptional regulation,,,,,,,,
2138322,both,progeny,no,posttranscriptional regulation,,,,,,,,
2138782,progeny,progeny,no,transcriptional regulation,,,,,,,,
2137896,progeny,progeny,no,transcriptional regulation,,,,0.722826087,,,,
2138831,progeny,progeny,no,transcriptional regulation,,,,,,,,
2138481,progeny,progeny,no,transcriptional regulation,,,,,,,,
2138280,progeny,progeny,no,transcriptional regulation,,,,,,,,
2138271,progeny,progeny,no,transcriptional regulation,,,,,,,,
2138776,progeny,progeny,no,transcriptional regulation,,,,,,,,
2138563,progeny,progeny,yes,transcriptional regulation,,,,,,,,
2138388,progeny,progeny,no,transcriptional regulation,,,,,,,,
2138353,progeny,progeny,no,transcriptional regulation,,,,,,,,
